Zone A Data, Big Bean Field
8
X m                              meters east of origin
Y m                              meters north of origin
Thk m                            zone thickness in meters
Por %                            porosity in percent
Perm md                          permeability in millidarcies
LogPerm -                        base 10 log of permeability
LogPermPrd -                     LogPerm predicted by regression against Por
LogPermRsd -                     Residual from LogPerm-Por regression
12100 8300 37.1531 14.6515 2.8547 0.4556 0.1357 0.3198
5300 8700 31.4993 14.5093 -999.9999 -999.9999 -999.9999 -999.9999
3500 13900 36.9185 14.0639 -999.9999 -999.9999 -999.9999 -999.9999
5100 1900 24.0156 15.1084 1.1407 0.0572 0.2268 -0.1696
9900 13700 35.0411 13.919 -999.9999 -999.9999 -999.9999 -999.9999
2900 900 28.4249 13.1304 0.3897 -0.4093 -0.1674 -0.2419
7900 6700 33.2458 14.5724 -999.9999 -999.9999 -999.9999 -999.9999
16900 4900 37.0216 15.0814 -999.9999 -999.9999 -999.9999 -999.9999
18700 1500 40.0446 13.91 1.556 0.192 -0.0121 0.2041
2700 2100 29.1565 13.4024 -999.9999 -999.9999 -999.9999 -999.9999
10700 5100 35.4579 14.9395 1.4019 0.1467 0.1931 -0.0464
7500 12900 31.44 15.2159 1.0773 0.0323 0.2482 -0.2159
5500 11100 35.2379 14.5777 0.8305 -0.0807 0.121 -0.2017
9500 9100 34.9151 14.2483 1.6088 0.2065 0.0553 0.1512
15300 3100 33.4161 14.4281 0.9464 -0.0239 0.0912 -0.1151
4700 9700 32.3707 15.2606 1.2034 0.0804 0.2571 -0.1767
16700 15700 43.8217 16.1859 4.7947 0.6808 0.4415 0.2393
19500 9700 37.3289 14.2079 2.3203 0.3655 0.0473 0.3182
16900 13100 38.0937 16.9583 -999.9999 -999.9999 -999.9999 -999.9999
900 3700 27.6737 13.8354 -999.9999 -999.9999 -999.9999 -999.9999
500 11900 32.3485 14.1859 -999.9999 -999.9999 -999.9999 -999.9999
9100 1300 28.0296 14.0381 0.65 -0.1871 0.0135 -0.2006
9100 13700 34.096 14.3685 1.0124 0.0053 0.0793 -0.074
9900 12900 36.3549 13.4018 -999.9999 -999.9999 -999.9999 -999.9999
6300 100 26.0119 15.8953 1.9391 0.2876 0.3836 -0.096
3700 5100 29.1077 12.8667 -999.9999 -999.9999 -999.9999 -999.9999
16300 900 36.6456 15.1039 1.8475 0.2666 0.2259 0.0407
18300 13500 38.7817 15.7736 -999.9999 -999.9999 -999.9999 -999.9999
9500 6900 31.9071 14.1333 0.9514 -0.0217 0.0324 -0.0541
17900 3100 37.5415 13.3369 0.9062 -0.0428 -0.1263 0.0835
9900 15500 43 15.1362 -999.9999 -999.9999 -999.9999 -999.9999
7100 8900 33.0404 15.0847 -999.9999 -999.9999 -999.9999 -999.9999
19300 7100 42.5253 14.2498 -999.9999 -999.9999 -999.9999 -999.9999
2300 5700 29.7727 12.6811 0.5523 -0.2578 -0.257 -8e-04
7300 8900 32.2021 14.9384 -999.9999 -999.9999 -999.9999 -999.9999
13900 3700 34.9958 15.6005 -999.9999 -999.9999 -999.9999 -999.9999
8500 10100 32.5227 13.7796 -999.9999 -999.9999 -999.9999 -999.9999
8100 8700 31.6919 15.2907 2.1023 0.3227 0.2631 0.0596
14700 11900 39.784 15.6881 -999.9999 -999.9999 -999.9999 -999.9999
6300 2300 30.3988 15.3677 -999.9999 -999.9999 -999.9999 -999.9999
11900 12900 34.9988 14.3283 -999.9999 -999.9999 -999.9999 -999.9999
18100 7100 38.3948 14.7374 -999.9999 -999.9999 -999.9999 -999.9999
11300 7100 35.3294 15.0547 -999.9999 -999.9999 -999.9999 -999.9999
12500 3100 30.4755 14.8889 -999.9999 -999.9999 -999.9999 -999.9999
2700 12700 38.0117 14.436 -999.9999 -999.9999 -999.9999 -999.9999
2700 4300 29.1415 12.1491 -999.9999 -999.9999 -999.9999 -999.9999
8500 11300 35.0381 13.624 1.3117 0.1178 -0.0691 0.1869
1500 900 24.0766 14.188 0.531 -0.2749 0.0433 -0.3182
7300 1300 32.3753 14.9072 1.4096 0.1491 0.1867 -0.0376
10700 4100 32.9269 15.2029 -999.9999 -999.9999 -999.9999 -999.9999
7100 1900 33.334 15.3468 1.6276 0.2115 0.2743 -0.0627
3900 8500 31.0577 15.939 1.7246 0.2367 0.3923 -0.1556
17100 6100 34.2641 15.7269 -999.9999 -999.9999 -999.9999 -999.9999
14100 10100 38.2068 15.3238 2.7575 0.4405 0.2697 0.1708
11500 4900 37.6076 14.0445 0.9587 -0.0183 0.0147 -0.0331
13300 15700 36.9157 14.4032 1.7549 0.2443 0.0862 0.158
1900 12100 38.5827 14.3586 1.2855 0.1091 0.0773 0.0317
15100 2900 33.966 14.6007 -999.9999 -999.9999 -999.9999 -999.9999
6500 900 29.2442 16.1458 -999.9999 -999.9999 -999.9999 -999.9999
8900 6100 32.2726 15.7727 -999.9999 -999.9999 -999.9999 -999.9999
4500 2300 27.8722 13.6234 0.6894 -0.1615 -0.0692 -0.0923
12900 10300 33.7745 15.1024 2.0667 0.3153 0.2256 0.0897
10900 5700 33.9646 15.3546 -999.9999 -999.9999 -999.9999 -999.9999
3500 700 28.3525 13.8431 0.6661 -0.1764 -0.0254 -0.151
16300 3700 33.9217 14.9427 1.3102 0.1173 0.1937 -0.0764
900 5100 30.3675 14.4139 1.4664 0.1662 0.0884 0.0779
12900 12900 38.3666 13.6177 -999.9999 -999.9999 -999.9999 -999.9999
15300 9300 38.2326 16.3787 3.1769 0.502 0.4799 0.0221
7300 6900 32.2048 14.258 -999.9999 -999.9999 -999.9999 -999.9999
16300 12500 37.3239 15.7772 -999.9999 -999.9999 -999.9999 -999.9999
100 8900 31.7183 14.6553 -999.9999 -999.9999 -999.9999 -999.9999
1700 11700 37.7883 14.3627 -999.9999 -999.9999 -999.9999 -999.9999
17500 11100 38.016 15.9659 -999.9999 -999.9999 -999.9999 -999.9999
14900 8300 38.374 16.0095 3.3433 0.5242 0.4064 0.1178
8300 10900 32.7182 13.9639 -999.9999 -999.9999 -999.9999 -999.9999
4100 14500 38.4526 14.2649 -999.9999 -999.9999 -999.9999 -999.9999
11100 15300 39.7254 15.7684 2.2098 0.3444 0.3583 -0.0139
500 4900 29.5005 14.591 -999.9999 -999.9999 -999.9999 -999.9999
13100 1500 32.2007 15.1377 1.8174 0.2594 0.2326 0.0268
18900 1700 40.5902 14.095 1.5596 0.193 0.0248 0.1682
3500 7500 33.2246 15.1486 1.4744 0.1686 0.2348 -0.0662
3700 6900 30.6871 13.9584 -999.9999 -999.9999 -999.9999 -999.9999
14500 13300 39.6297 14.7381 2.905 0.4631 0.153 0.3102
4900 9100 31.2961 15.0689 -999.9999 -999.9999 -999.9999 -999.9999
9700 5700 32.8684 15.8042 1.5436 0.1885 0.3654 -0.1769
